"REF_DATE","GEO","DGUID","Type of expenditures","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2008/2009","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","58836775","","","","0"
"2009/2010","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","61848463","","","","0"
"2010/2011","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","63844950","","","","0"
"2011/2012","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","65025378","","","","0"
"2012/2013","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","66345292","","","","0"
"2013/2014","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","67733693","","","","0"
"2014/2015","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","69541524","","","","0"
"2015/2016","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","71705742","","","","0"
"2016/2017","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","73663869","","","","0"
"2017/2018","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","77092258","","","","0"
"2018/2019","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","79292801","","","","0"
"2019/2020","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","78913789","","","","0"
"2020/2021","Canada","2016A000011124","Public and private elementary and secondary education expenditures","Dollars","81","units","0","v1200358","1.1","85570851","","","","0"
"1954/1955","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","570229","","","","0"
"1955/1956","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","651888","","","","0"
"1956/1957","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","741986","","","","0"
"1957/1958","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","855797","","","","0"
"1958/1959","Canada","2016A000011124","Public elementary and secondary education expenditures","Dollars","81","units","0","v1200377","1.20","973086","","","","0"
