"Data Source","World Development Indicators",

"Last Updated Date","2023-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Armenia","ARM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","64.1790008544922","63.7280006408691","60.9640007019043","59.6780014038086","59.2439994812012","57.3089981079102","56.1230010986328","56.8079986572266","55.4869995117188","55.3419990539551","55.1189994812012","54.8339996337891","54.5830001831055","54.4469985961914","54.2830009460449","54.2589988708496","54.3559989929199","54.1510009765625","55.0800018310547","54.890998840332","54.7220001220703","54.4449996948242","54.3810005187988","54.2480010986328","54.1370010375977","54.0880012512207","53.7330017089844","53.5069999694824","55.1199989318848","54.4480018615723","54.4939994812012",
"American Samoa","ASM","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australia","AUS","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","57.0909996032715","56.1150016784668","55.6619987487793","56.8129997253418","58.1580009460449","58.1139984130859","57.8429985046387","58.1619987487793","58.4480018615723","59.1749992370605","59.0340003967285","59.3240013122559","59.8190002441406","60.0400009155273","61.1609992980957","61.6640014648438","62.3250007629395","62.7099990844727","61.7919998168945","61.9830017089844","62.0970001220703","61.7490005493164","61.2639999389648","60.765998840332","61.068000793457","61.1660003662109","61.5270004272461","62.1520004272461","62.5470008850098","60.8289985656738","62.4780006408691",
"Austria","AUT","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53.9300003051758","54.5579986572266","54.2809982299805","56.9690017700195","56.8409996032715","55.7140007019043","55.4020004272461","55.5970001220703","56.1980018615723","55.9280014038086","55.9049987792969","56.0719985961914","56.3230018615723","53.9220008850098","55.2630004882813","55.984001159668","57.0270004272461","57.685001373291","57.2369995117188","57.4889984130859","57.7319984436035","57.8009986877441","57.6669998168945","57.2789993286133","57.2470016479492","57.5309982299805","57.8429985046387","58.3940010070801","58.6049995422363","57.5130004882813","57.3800010681152",
"Azerbaijan","AZE","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.0199966430664","72.2210006713867","72.3239974975586","72.8880004882813","73.4240036010742","72.7740020751953","71.6940002441406","70.4010009765625","69.2600021362305","67.8000030517578","66.495002746582","65.2300033569336","64.1039962768555","62.5519981384277","61.7190017700195","60.5379981994629","58.1730003356934","57.5509986877441","57.556999206543","57.4690017700195","57.8569984436035","58.3959999084473","58.8129997253418","59.6259994506836","60.2869987487793","61.4010009765625","61.9500007629395","62.4309997558594","62.3470001220703","62.7019996643066","62.6920013427734",
"Burundi","BDI","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","87.2429962158203","86.640998840332","85.8190002441406","85.088996887207","84.4219970703125","83.5849990844727","82.7229995727539","81.8539962768555","81.1520004272461","80.5090026855469","79.931999206543","79.3840026855469","78.7990036010742","78.4059982299805","77.9489974975586","77.6350021362305","77.9769973754883","78.3740005493164","78.286003112793","78.2300033569336","78.0650024414063","77.9339981079102","77.8330001831055","77.7129974365234","78.1389999389648","78.4830017089844","78.6999969482422","78.8300018310547","78.7590026855469","77.6780014038086","78.2149963378906",
"Belgium","BEL","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8310012817383","46.3050003051758","45.7120018005371","45.4729995727539","45.810001373291","45.6310005187988","45.9980010986328","46.1110000610352","47.4199981689453","48.8440017700195","47.7449989318848","47.6529998779297","47.4059982299805","48.201000213623","48.8009986877441","48.7280006408691","49.5919990539551","49.9329986572266","49.2410011291504","49.5880012512207","49.4020004272461","49.2350006103516","49.0449981689453","48.951000213623","48.7890014648438","48.951000213623","50.0229988098145","50.9659996032715","51.4749984741211","50.8330001831055","51.0789985656738",
"Benin","BEN","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","71.1029968261719","71.0699996948242","71.1129989624023","71.0989990234375","71.1460037231445","71.1500015258789","71.1760025024414","71.1829986572266","71.2070007324219","71.2269973754883","71.2409973144531","71.254997253418","71.2350006103516","71.2239990234375","71.1959991455078","71.1910018920898","71.1859970092773","71.1650009155273","71.1350021362305","71.1179962158203","69.9749984741211","68.9250030517578","67.8430023193359","66.6890029907227","65.4670028686523","64.2809982299805","63.0699996948242","61.818000793457","61.757999420166","61.0439987182617","61.1860008239746",
"Burkina Faso","BFA","Employment to population ratio, 15+, total (%) (modeled ILO estimate)","SL.EMP.TOTL.SP.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","81.7870025634766","81.1269989013672","80.5530014038086","79.9140014648438","79.3140029907227","78.6999969482422","77.9869995117188","77.2979965209961","76.5149993896484","75.6679992675781","74.8880004882813","74.0309982299805","73.2050018310547","71.890998840332","70.6480026245117","70.0510025024414","69.5029983520508","68.6050033569336","67.6510009765625","66.7669982910156","65.7990036010742","64.8359985351563","63.8580017089844","62.8600006103516","62.7280006408691","62.6259994506836","62.4990005493164","62.3680000305176","62.3089981079102","61.4830017089844","61.9300003051758",
